entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
36372,c10-1100004687,MINUTE MAID ABC RAISIN 20CL VC X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36355,c10-1200009395,MINUTE MAID ABC MULTIFRUITS 33CL PET X24,,MINUTE MAID,PET,33CL,COCA COLA ENTREPRISE,
36381,c10-1100001870,MINUTE MAID NECTAR FRAISE 20CL VC X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36386,c10-1100000319,MINUTE MAID SMOOTHIE BANANE CERISE 70CL,,MINUTE MAID,PET,25CL,COCA COLA ENTREPRISE,
36366,c10-1100000328,MINUTE MAID ABC PECHE 20CL VP X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36361,c10-1100000385,MINUTE MAID ABC ORANGE 33CL BTE X6,,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
36357,c10-1100000323,MINUTE MAID ABC ORANGE 20CL BRK X24,,MINUTE MAID,BRK,20CL,COCA COLA ENTREPRISE,
36352,c10-1100001474,MINUTE MAID ABC ACE 20CL VC X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36377,c10-1200056099,MINUTE MAID CITRONNADE 5L BIB,,MINUTE MAID,BIB,5L,COCA COLA ENTREPRISE,
36373,c10-1100000332,MINUTE MAID ABC RAISIN 20CL VP X24,,MINUTE MAID,BTL,20CL,COCA COLA ENTREPRISE,
36385,c10-1100000318,MINUTE MAID SMOOTHIE BANANE ANANAS 70CL,,MINUTE MAID,PET,25CL,COCA COLA ENTREPRISE,
84119,fb-81850,MINUTE MAID ROUGE SENSATION  BTE 24X33CL,84sogge-1054,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
36353,c10-1100000333,MINUTE MAID ABC FRUIT ROUGE 33CL BTE X24,84sogge-1054,MINUTE MAID,BTE,33CL,COCA COLA ENTREPRISE,
